Home Team Initials,Away Team Initials,weight,HomeGoalTotal
FRA,MEX,4,68
USA,BEL,1,19
YUG,BRA,1,42
ROU,PER,1,15
ARG,FRA,2,111
CHI,MEX,1,25
YUG,BOL,1,42
USA,PAR,1,19
URU,PER,1,62
CHI,FRA,1,25
ARG,MEX,3,111
BRA,BOL,1,180
PAR,BEL,2,14
URU,ROU,1,62
ARG,CHI,1,111
ARG,USA,1,111
URU,YUG,1,62
URU,ARG,1,62
AUT,FRA,2,31
HUN,EGY,1,73
SUI,NED,1,22
SWE,ARG,2,53
GER,BEL,2,69
ESP,BRA,2,50
ITA,USA,3,99
TCH,ROU,1,27
TCH,SUI,1,27
GER,SWE,2,69
ITA,ESP,3,99
AUT,HUN,1,31
ITA,AUT,4,99
TCH,GER,1,27
GER,AUT,1,69
ITA,TCH,2,99
SUI,GER,2,22
HUN,INH,1,73
FRA,BEL,2,68
CUB,ROU,2,5
ITA,NOR,3,99
BRA,POL,4,180
TCH,NED,1,27
BRA,TCH,5,180
HUN,SUI,1,73
SWE,CUB,1,53
ITA,FRA,5,99
HUN,SWE,1,73
ITA,BRA,2,99
BRA,SWE,5,180
ITA,HUN,2,99
BRA,MEX,4,180
ENG,CHI,1,54
ESP,USA,1,50
SWE,ITA,1,53
YUG,SUI,1,42
BRA,SUI,1,180
YUG,MEX,1,42
ESP,CHI,2,50
SWE,PAR,2,53
USA,ENG,1,19
BRA,YUG,3,180
ESP,ENG,2,50
ITA,PAR,2,99
URU,BOL,1,62
SUI,MEX,1,22
CHI,USA,1,25
URU,ESP,2,62
BRA,ESP,3,180
URU,SWE,1,62
SWE,ESP,1,53
URU,BRA,1,62
URU,TCH,1,62
AUT,SCO,1,31
YUG,FRA,2,42
FRG,TUR,2,99
HUN,KOR,1,73
ENG,BEL,2,54
SUI,ITA,2,22
URU,SCO,1,62
AUT,TCH,2,31
HUN,FRG,1,73
TUR,KOR,1,10
ENG,SUI,1,54
ITA,BEL,1,99
URU,ENG,2,62
AUT,SUI,1,31
FRG,YUG,3,99
HUN,BRA,2,73
FRG,AUT,2,99
HUN,URU,1,73
AUT,URU,1,31
FRG,HUN,1,99
SWE,MEX,1,53
URS,ENG,2,43
ARG,FRG,2,111
HUN,WAL,1,73
FRA,PAR,2,68
YUG,SCO,1,42
BRA,AUT,2,180
NIR,TCH,2,5
BRA,ENG,3,180
MEX,WAL,1,22
PAR,SCO,1,14
